lambda	amp
826.134	0.182
826.281	0.178
826.428	0.174
826.574	0.170
826.721	0.170
826.868	0.168
827.015	0.163
827.161	0.160
827.308	0.159
827.455	0.159
827.601	0.158
827.748	0.156
827.894	0.155
828.041	0.153
828.187	0.150
828.333	0.147
828.480	0.146
828.626	0.147
828.772	0.146
828.918	0.144
829.065	0.144
829.211	0.144
829.357	0.145
829.503	0.147
829.649	0.148
829.795	0.148
829.941	0.147
830.087	0.147
830.233	0.147
830.379	0.149
830.524	0.151
830.670	0.151
830.816	0.153
830.962	0.152
831.107	0.151
831.253	0.152
831.398	0.154
831.544	0.152
831.689	0.150
831.835	0.147
831.980	0.146
832.126	0.142
832.271	0.139
832.416	0.135
832.562	0.132
832.707	0.128
832.852	0.125
832.997	0.120
833.142	0.117
833.287	0.115
833.432	0.112
833.577	0.108
833.722	0.104
833.867	0.099
834.012	0.096
834.157	0.094
834.302	0.093
834.447	0.091
834.591	0.091
834.736	0.089
834.881	0.090
835.025	0.090
835.170	0.089
835.314	0.087
835.459	0.086
835.603	0.086
835.748	0.084
835.892	0.083
836.037	0.082
836.181	0.082
836.325	0.080
836.469	0.079
836.614	0.078
836.758	0.076
836.902	0.076
837.046	0.075
837.190	0.073
837.334	0.072
837.478	0.070
837.622	0.070
837.766	0.070
837.910	0.070
838.054	0.069
838.197	0.068
838.341	0.067
838.485	0.066
838.628	0.065
838.772	0.065
838.916	0.065
839.059	0.064
839.203	0.063
839.346	0.062
839.490	0.060
839.633	0.059
839.776	0.059
839.920	0.058
840.063	0.056
840.206	0.054
840.349	0.053
840.493	0.051
840.636	0.050
840.779	0.051
840.922	0.051
841.065	0.050
841.208	0.049
841.351	0.049
841.494	0.048
841.637	0.048
841.779	0.047
841.922	0.047
842.065	0.047
842.208	0.046
842.350	0.046
842.493	0.046
842.636	0.046
842.778	0.045
842.921	0.045
843.063	0.045
843.206	0.044
843.348	0.042
843.490	0.041
843.633	0.040
843.775	0.040
843.917	0.039
844.059	0.039
844.202	0.038
844.344	0.036
844.486	0.036
844.628	0.035
844.770	0.033
844.912	0.033
845.054	0.033
845.196	0.033
845.338	0.033
845.479	0.032
845.621	0.033
845.763	0.033
845.905	0.033
846.047	0.034
846.188	0.034
846.330	0.034
846.471	0.034
846.613	0.034
846.754	0.036
846.896	0.036
847.037	0.036
847.179	0.038
847.320	0.038
847.461	0.037
847.602	0.037
847.744	0.037
847.885	0.038
848.026	0.037
848.167	0.037
848.308	0.037
848.449	0.036
848.590	0.036
848.731	0.036
848.872	0.036
849.013	0.036
849.154	0.035
849.295	0.035
849.435	0.034
849.576	0.034
849.717	0.033
849.857	0.032
849.998	0.032
850.139	0.032
850.279	0.031
850.420	0.031
850.560	0.031
850.701	0.031
850.841	0.031
850.981	0.030
851.122	0.029
851.262	0.029
851.402	0.029
851.542	0.027
851.682	0.027
851.823	0.027
851.963	0.028
852.103	0.029
852.243	0.029
852.383	0.029
852.523	0.028
852.663	0.028
852.802	0.027
852.942	0.027
853.082	0.026
853.222	0.027
853.361	0.027
853.501	0.027
853.641	0.027
853.780	0.028
853.920	0.028
854.059	0.028
854.199	0.027
854.338	0.027
854.478	0.026
854.617	0.026
854.756	0.026
854.896	0.025
855.035	0.025
855.174	0.025
855.313	0.026
855.452	0.026
855.591	0.025
855.730	0.027
855.870	0.027
856.008	0.027
856.147	0.026
856.286	0.027
856.425	0.026
856.564	0.027
856.703	0.027
856.841	0.027
856.980	0.027
857.119	0.028
857.258	0.029
857.396	0.029
857.535	0.030
857.673	0.030
857.812	0.030
857.950	0.029
858.089	0.028
858.227	0.028
858.365	0.028
858.503	0.028
858.642	0.028
858.780	0.029
858.918	0.028
859.056	0.028
859.194	0.029
859.332	0.029
859.470	0.028
859.608	0.028
859.746	0.028
859.884	0.027
860.022	0.027
860.160	0.028
860.298	0.027
860.436	0.027
860.573	0.026
860.711	0.026
860.849	0.027
860.986	0.026
861.124	0.026
861.261	0.026
861.399	0.026
861.536	0.025
861.674	0.025
861.811	0.026
861.948	0.026
862.086	0.027
862.223	0.029
862.360	0.029
862.497	0.028
862.634	0.029
862.771	0.030
862.909	0.031
863.046	0.030
863.183	0.030
863.320	0.030
863.456	0.030
863.593	0.031
863.730	0.030
863.867	0.031
864.004	0.030
864.140	0.030
864.277	0.029
864.414	0.028
864.550	0.028
864.687	0.028
864.824	0.028
864.960	0.028
865.096	0.029
865.233	0.029
865.369	0.029
865.506	0.030
865.642	0.030
865.778	0.030
865.914	0.030
866.051	0.031
866.187	0.031
866.323	0.032
866.459	0.032
866.595	0.032
866.731	0.032
866.867	0.032
867.003	0.032
867.139	0.031
867.275	0.031
867.410	0.030
867.546	0.030
867.682	0.029
867.818	0.030
867.953	0.030
868.089	0.030
868.224	0.029
868.360	0.030
868.496	0.030
868.631	0.029
868.766	0.029
868.902	0.029
869.037	0.029
869.172	0.028
869.308	0.028
869.443	0.028
869.578	0.028
869.713	0.028
869.848	0.028
869.984	0.028
870.119	0.028
870.254	0.028
870.389	0.028
870.523	0.027
870.658	0.028
870.793	0.028
870.928	0.029
871.063	0.029
871.198	0.028
871.332	0.028
871.467	0.029
871.602	0.029
871.736	0.029
871.871	0.030
872.005	0.031
872.140	0.031
872.274	0.031
872.409	0.031
872.543	0.032
872.677	0.033
872.812	0.033
872.946	0.032
873.080	0.032
873.214	0.031
873.348	0.031
873.482	0.032
873.616	0.032
873.750	0.033
873.884	0.032
874.018	0.034
874.152	0.034
874.286	0.033
874.420	0.032
874.554	0.033
874.687	0.033
874.821	0.032
874.955	0.032
875.089	0.032
875.222	0.032
875.356	0.032
875.489	0.031
875.623	0.030
875.756	0.031
875.890	0.031
876.023	0.031
876.156	0.031
876.289	0.029
876.423	0.029
876.556	0.028
876.689	0.029
876.822	0.029
876.955	0.029
877.088	0.029
877.221	0.028
877.354	0.029
877.487	0.029
877.620	0.028
877.753	0.029
877.886	0.030
878.019	0.027
878.152	0.027
878.284	0.027
878.417	0.028
878.550	0.029
878.682	0.028
878.815	0.029
878.947	0.028
879.080	0.027
879.212	0.027
879.345	0.025
879.477	0.027
879.609	0.026
879.742	0.026
879.874	0.025
880.006	0.024
880.138	0.023
880.271	0.024
880.403	0.024
880.535	0.024
880.667	0.023
880.799	0.023
880.931	0.024
881.063	0.024
881.195	0.023
881.326	0.023
881.458	0.022
881.590	0.024
881.722	0.024
881.853	0.025
881.985	0.025
882.117	0.027
882.248	0.028
882.380	0.028
882.511	0.028
882.643	0.028
882.774	0.028
882.906	0.028
883.037	0.027
883.168	0.027
883.299	0.029
883.431	0.030
883.562	0.030
883.693	0.030
883.824	0.030
883.955	0.030
884.086	0.029
884.217	0.028
884.348	0.028
884.479	0.028
884.610	0.029
884.741	0.029
884.872	0.029
885.003	0.028
885.133	0.027
885.264	0.028
885.395	0.029
885.525	0.027
885.656	0.027
885.786	0.027
885.917	0.027
886.047	0.028
886.178	0.028
886.308	0.028
886.438	0.028
886.569	0.028
886.699	0.028
886.829	0.028
886.960	0.028
887.090	0.028
887.220	0.028
887.350	0.029
887.480	0.029
887.610	0.029
887.740	0.030
887.870	0.030
888.000	0.030
888.130	0.031
888.259	0.029
888.389	0.029
888.519	0.029
888.649	0.030
888.778	0.030
888.908	0.029
889.038	0.029
889.167	0.028
889.297	0.029
889.426	0.030
889.556	0.030
889.685	0.030
889.814	0.029
889.944	0.028
890.073	0.028
890.202	0.029
890.331	0.028
890.461	0.029
890.590	0.028
890.719	0.028
890.848	0.028
890.977	0.028
891.106	0.028
891.235	0.028
891.364	0.029
891.493	0.028
891.621	0.028
891.750	0.027
891.879	0.027
892.008	0.027
892.136	0.027
892.265	0.027
892.394	0.027
892.522	0.026
892.651	0.026
892.779	0.025
892.908	0.025
893.036	0.026
893.164	0.026
893.293	0.026
893.421	0.027
893.549	0.027
893.678	0.028
893.806	0.028
893.934	0.028
894.062	0.028
894.190	0.028
894.318	0.028
894.446	0.028
894.574	0.027
894.702	0.028
894.830	0.027
894.958	0.027
895.085	0.027
895.213	0.026
895.341	0.027
895.469	0.027
895.596	0.027
895.724	0.026
895.851	0.025
895.979	0.025
896.106	0.025
896.234	0.025
896.361	0.026
896.489	0.026
896.616	0.026
896.743	0.026
896.871	0.027
896.998	0.027
